"Story","Title","Result","Date","Stability","Duration (s)"
"Testing RESTful API Create a new order (ALTA SHOP)","Verify Successfully Create a new order","SUCCESS","2023-11-03T15:53:14.037+07:00[Asia/Bangkok]","0.0","5.74"
"Testing RESTful API Create a new order (ALTA SHOP)","Verify Create a new order with Invalid Token","SUCCESS","2023-11-03T15:53:19.881+07:00[Asia/Bangkok]","0.0","0.36"
"Testing RESTful API Create a new order (ALTA SHOP)","Verify Create a new order without Token","SUCCESS","2023-11-03T15:53:20.272+07:00[Asia/Bangkok]","0.0","0.23"
"Testing RESTful API Get all orders (ALTA SHOP)","Verify Successfully Get all orders","SUCCESS","2023-11-03T15:53:14.037+07:00[Asia/Bangkok]","0.0","5.74"
"Testing RESTful API Get all orders (ALTA SHOP)","Verify Get all orders with Invalid Token","SUCCESS","2023-11-03T15:53:19.865+07:00[Asia/Bangkok]","0.0","0.39"
"Testing RESTful API Get all orders (ALTA SHOP)","Verify Get all orders without Token","SUCCESS","2023-11-03T15:53:20.287+07:00[Asia/Bangkok]","0.0","0.27"
"Testing RESTful API Get order by ID (ALTA SHOP)","Verify Successfully Get orders by ID","SUCCESS","2023-11-03T15:53:14.021+07:00[Asia/Bangkok]","0.0","5.75"
"Testing RESTful API Get order by ID (ALTA SHOP)","Verify Get orders by ID with Invalid Token","SUCCESS","2023-11-03T15:53:19.85+07:00[Asia/Bangkok]","0.0","0.3"
"Testing RESTful API Get order by ID (ALTA SHOP)","Verify Get orders by ID without Token","SUCCESS","2023-11-03T15:53:20.162+07:00[Asia/Bangkok]","0.0","0.45"
"Testing RESTful API Get User Information (ALTA SHOP)","Verify Successfully Get User Information","SUCCESS","2023-11-03T15:53:14.021+07:00[Asia/Bangkok]","0.0","6.05"
"Testing RESTful API Get User Information (ALTA SHOP)","Verify Get User Information with Invalid Token","SUCCESS","2023-11-03T15:53:20.1+07:00[Asia/Bangkok]","0.0","0.53"
"Testing RESTful API Get User Information (ALTA SHOP)","Verify Get User Information without Token","SUCCESS","2023-11-03T15:53:20.647+07:00[Asia/Bangkok]","0.0","0.22"
"Testing RESTful API Login (ALTA SHOP)","Verify Successful User Login","SUCCESS","2023-11-03T15:53:13.943+07:00[Asia/Bangkok]","0.0","5.86"
"Testing RESTful API Login (ALTA SHOP)","Verify User Login with Unregistered Email","SUCCESS","2023-11-03T15:53:19.897+07:00[Asia/Bangkok]","0.0","0.61"
"Testing RESTful API Login (ALTA SHOP)","Verify User Login with Incorrect Password","SUCCESS","2023-11-03T15:53:20.537+07:00[Asia/Bangkok]","0.0","0.24"
"Testing RESTful API Login (ALTA SHOP)","Verify User Login with Empty Email","SUCCESS","2023-11-03T15:53:20.772+07:00[Asia/Bangkok]","0.0","0.87"
"Testing RESTful API Login (ALTA SHOP)","Verify User Login with Empty Password","SUCCESS","2023-11-03T15:53:21.662+07:00[Asia/Bangkok]","0.0","0.22"
"Testing RESTful API Login (ALTA SHOP)","Verify User Login with Special Characters in Password","SUCCESS","2023-11-03T15:53:21.897+07:00[Asia/Bangkok]","0.0","0.27"
"Testing RESTful API Login (ALTA SHOP)","Verify User Login with Fill in email with valid password, and Fill in password with valid email","SUCCESS","2023-11-03T15:53:22.162+07:00[Asia/Bangkok]","0.0","0.41"
"Testing RESTful API Registration (ALTA SHOP)","Verify Successful User Registration","SUCCESS","2023-11-03T15:53:14.006+07:00[Asia/Bangkok]","0.0","5.81"
"Testing RESTful API Registration (ALTA SHOP)","Verify User Registration with Existing Email","SUCCESS","2023-11-03T15:53:19.959+07:00[Asia/Bangkok]","0.0","0.34"
"Testing RESTful API Registration (ALTA SHOP)","Verify User Registration with Empty Email","SUCCESS","2023-11-03T15:53:20.318+07:00[Asia/Bangkok]","0.0","0.22"
"Testing RESTful API Registration (ALTA SHOP)","Verify User Registration with Empty Password","SUCCESS","2023-11-03T15:53:20.568+07:00[Asia/Bangkok]","0.0","0.22"
"Testing RESTful API Registration (ALTA SHOP)","Verify User Registration with Empty Full Name","SUCCESS","2023-11-03T15:53:20.787+07:00[Asia/Bangkok]","0.0","0.23"
"Testing RESTful API Registration (ALTA SHOP)","Verify User Registration with Special Characters in password","SUCCESS","2023-11-03T15:53:21.021+07:00[Asia/Bangkok]","0.0","0.17"
